Creditability;Account_Balance;Duration_of_Credit_monthly;Payment_Status_of_Previous_Credit;Purpose;Credit_Amount;Value_Savings_Stocks;Length_of_current_employment;Instalment_per_cent;Sex_Marital_Status;Guarantors;Duration_in_Current_address;Most_valuable_available_asset;Age_years;Concurrent_Credits;Type_of_apartment;No_of_Credits_at_this_Bank;Occupation;No_of_dependents;Telephone;Foreign_Worker;Relative_Credit_Amount;Credit_per_month;Age_at_end_of_credit;Credit_per_dependent;Instalment_to_income_ratio;Stability_Index;Has_Guarantor;Has_Telephone;Is_Foreign_Worker;Credit_to_age_ratio
1;1;18;4.0;2.0;1049;1;2;4;1.0;0.0;4;2;21;3;0.0;1;2.0;1;0.0;0.0;524.5;55.21052631578947;22;524.5;2.0;6;1;0;0;47.68181818181818
1;1;9;4.0;0.0;2799;1;3;2;2.0;0.0;2;1;36;3;0.0;2;2.0;2;0.0;0.0;1399.5;279.9;36;933.0;1.0;5;1;0;0;75.64864864864865
1;2;12;2.0;8.0;841;2;4;2;1.0;0.0;4;1;23;3;0.0;1;1.0;1;0.0;0.0;280.3333333333333;64.6923076923077;24;420.5;0.6666666666666666;8;1;0;0;35.041666666666664
1;1;12;4.0;0.0;2122;1;3;3;2.0;0.0;2;1;39;3;0.0;2;1.0;2;0.0;1.0;1061.0;163.23076923076923;40;707.3333333333334;1.5;5;1;0;0;53.05
1;1;12;4.0;0.0;2171;1;3;4;2.0;0.0;4;2;38;1;1.0;2;1.0;1;0.0;1.0;1085.5;167.0;39;1085.5;2.0;7;1;0;0;55.666666666666664
1;1;10;4.0;0.0;2241;1;2;1;2.0;0.0;3;1;48;3;0.0;2;1.0;2;0.0;1.0;1120.5;203.72727272727272;48;747.0;0.5;5;1;0;0;45.734693877551024
1;1;8;4.0;0.0;3398;1;4;1;2.0;0.0;4;1;39;3;1.0;2;1.0;1;0.0;1.0;1699.0;377.55555555555554;39;1699.0;0.5;8;1;0;0;84.95
1;1;6;4.0;0.0;1361;1;2;2;2.0;0.0;4;1;40;3;1.0;1;1.0;2;0.0;1.0;680.5;194.42857142857142;40;453.6666666666667;1.0;6;1;0;0;33.19512195121951
1;4;18;4.0;3.0;1098;1;1;4;1.0;0.0;4;3;65;3;1.0;2;0.0;1;0.0;0.0;219.6;57.78947368421053;66;549.0;0.8;5;1;0;0;16.636363636363637
1;2;24;2.0;3.0;3758;3;1;1;1.0;0.0;4;4;23;3;0.0;1;0.0;1;0.0;0.0;1252.6666666666667;150.32;25;1879.0;0.3333333333333333;5;1;0;0;156.58333333333334
1;1;11;4.0;0.0;3905;1;3;2;2.0;0.0;2;1;36;3;0.0;2;2.0;2;0.0;0.0;1952.5;325.4166666666667;36;1301.6666666666667;1.0;5;1;0;0;105.54054054054055
1;1;30;4.0;1.0;6187;2;4;1;3.0;0.0;4;3;24;3;0.0;2;2.0;1;0.0;0.0;3093.5;199.58064516129033;26;3093.5;0.5;8;1;0;0;247.48
